Fiscal Year,Oil,Gas,Coal,Total,Household,Power,Brick Kilns,Cement,Other Govt.,Total,Household,Industry,Agriculture,Transport,Power,Other Govt,Total,Households,Commercial,Cement,Fertilizer,Power,SSGC*,Industry,Transport (CNG**),Total
1971-72,8.410977473,6.600361257,3.496777679,18.50811641,0.1618060873,0,3.334971592,0,0,3.732080193,1.151686112,0.8099537264,0.8680381657,3.374051476,0.3010687436,1.90617925,8.410977473,0.1338255,0.1151218918,0.970634398,1.319077882,2.41448192,0,1.647219666,0,6.600361257
1972-73,8.663118049,7.535423287,3.496777679,19.69531901,0.1618060873,0,3.334971592,0,0,3.708435994,1.198020657,0.7479304879,0.97723933,3.575976142,0.2330269717,1.93092446,8.663118049,0.1765596932,0.1364297998,1.236332173,1.638637314,2.564643482,0,1.782820825,0,7.535423287
1973-74,8.943338061,7.960811995,3.193961005,20.09811106,0.1618060873,0,3.032154918,0,0,3.390806086,1.365514839,0.6652943017,0.7162961575,3.804867828,0.6135639342,1.777801001,8.943338061,0.2318418768,0.1768556364,1.364534753,1.185548326,2.87354896,0,2.128482443,0,6.895416595
1974-75,10.31890999,9.27758152,3.321582708,22.91807421,0.1301855315,0,3.191397176,0,0,3.554321393,1.626388485,0.6826667332,0.8181487258,4.282647483,0.9323104192,1.97674814,10.31890999,0.2997904278,0.2083439893,1.460065207,1.846862926,3.066030395,0,2.396488575,0,9.27758152
1975-76,9.800515056,9.287584399,2.889150242,21.9772497,0.1142328187,0,2.774917423,0,0,3.033009527,1.498953371,0.5881567152,0.7548679736,4.644475905,0.4741401196,1.839920971,9.800515056,0.3673246585,0.2494209009,1.411530528,1.871840529,2.930725179,0,2.456742604,0,9.287584399
1976-77,10.23826889,10.00435875,3.302496426,23.54512407,0.1467079841,0,3.155788442,0,0,3.484813144,1.746741015,0.7214954933,0.7353372132,4.888098035,0.4910651665,1.655531971,10.23826889,0.4437963727,0.2772395585,1.333815852,1.882494483,3.600858886,0,2.466153596,0,10.00435875
1977-78,10.88385711,10.62240646,3.450913629,24.9571772,0.07235694749,0,3.378556682,0,0,3.603319011,1.901811203,0.6772044079,0.798557508,5.767151538,0.1056069723,1.63352548,10.88385711,0.5808180589,0.3138773226,1.434495717,1.88651931,3.570731872,0,2.835964177,0,10.62240646
1978-79,11.76119664,11.63459128,3.866823643,27.26261156,0,0.08090304365,3.750881605,0,0.03503899426,3.950575385,2.058495603,0.6128928571,0.709053362,6.721640751,0.04691795906,1.612196112,11.76119664,0.7167743497,0.3588606839,1.43567949,2.58944352,3.596182984,0,2.93765025,0,11.63459128
1979-80,12.54903506,13.49388382,4.394117776,30.43703665,0,0.05384040581,4.305808115,0,0.03446925451,4.469323422,1.891896191,0.6880232582,0.7639154224,6.928181339,0.1526246861,2.12439416,12.54903506,0.8453912499,0.3872712279,1.523397045,2.741321553,4.760600968,0,3.235901773,0,13.49388382
1980-81,13.00105382,15.6716112,4.469893162,33.14255818,0,0.08717018083,4.322615438,0,0.06010754299,4.492113012,1.562696623,0.7890536059,0.5239146905,7.519240009,0.5531004965,2.053048392,13.00105382,1.049887978,0.4462822953,1.5439355,3.901714709,5.015822354,0,3.713968364,0,15.6716112
1981-82,14.65261374,16.89977534,4.921411909,36.47380099,0,0.005127657696,4.886657784,0,0.02962646669,4.98607737,1.643594659,0.9186077513,0.3755462048,8.298689959,1.336298804,2.07987636,14.65261374,1.422717179,0.4934556361,1.557785641,4.573683263,4.858617344,0,3.99351628,0,16.89977534
1982-83,16.66936653,17.7873089,4.519175649,38.97585108,0,0.09315244814,4.404373091,0,0.02165011027,4.582416761,1.795242958,1.183912925,0.4876614154,8.73657378,2.279778726,2.186196729,16.66936653,1.678412075,0.5270747798,1.256101177,5.759527532,4.392092536,0,4.1741008,0,17.7873089
1983-84,18.44009402,17.82134236,5.262116276,41.52355266,0,0.06694441992,5.158138772,0,0.03703308336,5.45212448,2.052217103,2.082872023,0.5237242497,9.270995965,2.31634638,2.193938298,18.44009402,1.90859667,0.5399187133,0.6099388665,5.820314259,4.61239263,0,4.330181226,0,17.82134236
1984-85,19.9985284,18.88875018,6.328953946,45.21623252,0,0.09144322891,6.194210497,0,0.04330022054,6.374533126,2.262394203,2.46277116,0.6616668581,9.794708124,2.855003605,1.961984445,19.9985284,2.211997605,0.5822977747,0.4912656567,5.92377599,5.262224635,0,4.417188517,0,18.88875018
1985-86,21.33173178,19.9826745,6.23095871,47.54536499,0,0.07292668723,6.11957459,0,0.03845743272,6.271979972,2.419652948,2.859565116,0.7333451421,10.30881965,3.034743432,1.975605496,21.33173178,2.51622718,0.5873288086,0.4310708166,5.906315343,6.111344769,0,4.430387582,0,19.9826745
1986-87,23.36131364,21.1699393,6.423815614,50.95506855,0,0.05412527568,6.326390117,0,0.04330022054,6.439768326,2.601173245,3.71227431,0.7264802052,11.8572846,3.569628116,0.8944731604,23.36131364,2.70853105,0.5846653201,0.3253007288,6.104182944,6.990059219,0,4.457200033,0,21.1699393
1987-88,25.78077917,22.92559254,7.776092896,56.4824646,0,0.06067728274,7.705160298,0,0.01025531539,7.83363661,2.597899477,3.702830865,0.9987772759,12.65362635,4.83280975,0.994835454,25.78077917,2.808086331,0.6085775279,0.3114505886,6.087728504,8.449177408,0,4.660572177,0,22.92559254
1988-89,27.38512791,23.39377463,7.486665106,58.26556764,0,0.115657168,7.36673489,0,0.00427304808,7.529110717,2.935318228,3.90235235,0.8878258701,13.15757498,5.507674457,0.9943820235,27.38512791,3.03507474,0.6409537104,0.3110362682,6.178938188,8.408574006,0,4.819197715,0,23.39377463
1989-90,30.1454371,26.23956412,8.932949446,65.31795067,0,0.1133782091,8.819571237,0,0,8.953175207,3.376230965,3.920716283,0.8673247685,14.15789694,6.615707309,1.207560833,30.1454371,3.559604409,0.6601900162,0.4727988031,6.426820184,10.00814682,0,5.112003884,0,26.23956412
1990-91,30.11162933,27.54272026,8.688815966,66.34316555,0,0.07007798851,8.618737977,0,0,8.699641021,2.854362757,3.469341394,0.8017526811,14.63480601,7.358075717,0.9932907676,30.11162933,3.953623141,0.7290263968,0.770636006,6.389649723,10.44140762,0,5.258377374,0,27.54272026
1991-92,33.20008008,28.80302383,8.807891572,70.81099548,0,0.1125235994,8.695367973,0,0,8.827262724,1.855153211,4.139895489,0.8510556843,16.98717291,8.389726699,0.9770760951,33.20008008,4.187063111,0.7728259854,0.6961175166,6.007231963,11.47626168,0,5.662043853,0.001479715833,28.80154411
1992-93,36.31024411,30.27652485,9.296158533,75.8829275,0,0.1330342302,9.163124303,0,0,9.305559239,1.880451606,4.473650521,0.8681107146,18.46192216,9.546597033,1.079512077,36.31024411,4.4854922,0.8479363611,0.7051733775,7.080617828,11.0595737,0,6.095896535,0.001834847633,30.27658404
1993-94,39.97920675,32.59926439,10.0576157,82.63608684,0,0.1242032642,9.933412437,0,0,10.06701641,1.783042656,4.99836325,0.9304241485,19.39044492,11.79616822,1.080763545,39.97920675,4.880753893,0.9019755833,0.6029546078,8.553586157,11.70123768,0,5.956211361,0.002545111233,32.59926439
1994-95,42.19976444,32.36363444,8.658904629,83.22230351,0,0.1159420379,8.542962591,0,0,8.668590205,1.768901672,5.711539806,0.8120364835,20.09052036,12.74331489,1.073451224,42.19976444,5.743960922,0.9508062058,0.3983395023,8.386851777,10.71947582,0,6.161418353,0.002781865767,32.36363444
1995-96,47.16003348,34.49916033,10.35416524,92.01335905,0,1.136345919,9.217819318,0,0,10.3629962,1.801723991,7.304093311,0.755811109,21.57008203,14.46701861,1.261304432,47.16003348,6.516846096,1.003839221,0.4479987657,8.900431549,11.03909444,0,6.581894404,0.0090558609,34.49916033
1996-97,47.1748002,35.38290582,10.0935093,92.65121532,0,1.00245708,9.091052225,0,0,10.12114168,1.540871504,6.4721603,0.8127468579,21.68083392,15.44756798,1.22061963,47.1748002,6.835576886,1.089248419,0.5160065054,8.90688311,11.48164785,0,6.532353518,0.02118953073,35.38290582
1997-98,50.25340849,35.98017832,8.99163264,95.22521945,0,0.9870741065,8.004558533,0,0,8.998184647,1.508257764,6.291111571,0.740533526,22.26273028,18.29979962,1.150975737,50.25340849,7.960871183,1.110615516,0.7157089543,8.745238952,10.59725129,0,6.821489992,0.02900243033,35.98017832
1998-99,50.32398041,37.63284334,9.856782441,97.81360618,0,1.183064578,8.673717863,0,0,9.860485749,1.489573407,6.468605405,0.7533867675,23.77203698,16.70337684,1.137001011,50.32398041,7.79253871,1.270543203,0.4727988031,9.912557179,10.87141304,0,7.187334934,0.1256574686,37.63284334
1999-00,53.61911987,42.14633176,9.021543976,104.7869956,0,0.9916320244,8.029911952,0,0,9.024392675,1.352144686,6.395968872,0.8858035704,25.11393111,18.82520761,1.046064025,53.70980596,8.284810573,1.285103607,0.5065363241,10.48538477,13.45736443,0,7.985493655,0.1416383996,42.30472054
2000-01,53.34729437,45.46089523,11.52213171,110.3303213,0.00284869872,0.5862621966,8.084322097,2.84869872,0,11.52213171,1.363193275,5.816146208,0.7703269288,24.66024675,19.61234169,1.125039516,53.34729437,8.339619248,1.220351242,0.4129590948,10.38127197,16.64709907,0,8.197803282,0.2617913252,45.46089523
2001-02,51.26813443,48.8071838,12.55877318,112.6340914,0.003133568592,0.7104654608,7.342520951,4.502653197,0,12.55877318,1.011152904,4.872850681,0.6823886292,24.23971722,19.06045941,1.401565582,51.26813443,8.534172286,1.309844456,0.4180493172,10.5112502,18.63560039,0,8.962106105,0.436161039,48.8071838
2002-03,49.73211161,51.62811406,13.92985187,115.2900775,0.003133568592,0.5799950594,7.426557563,5.92016568,0,13.92985187,0.8540241423,4.848888394,0.5947405252,24.43165735,18.19754803,0.8052531641,49.73211161,9.085928726,1.348080313,0.2039048418,10.69011825,19.86583614,0,9.764230464,0.6700153293,51.62811406
2003-04,40.57027449,62.23199448,17.27593339,120.0782024,0.00284869872,0.5267243933,7.376420466,9.36993983,0,17.27593339,0.6996703747,4.513386142,0.5547147088,25.58569525,8.281946284,0.9348617211,40.57027449,9.184536989,1.431891418,0.4564035516,10.97061319,27.80315024,0,11.44678574,0.9386133474,62.23199448
2004-05,44.34930585,68.72054841,22.48705796,135.5569122,0,0.5124808997,11.12901129,10.84556577,0,22.48705796,0.5826581154,4.662468025,0.4294349011,27.28074218,10.43670215,0.9573004821,44.34930585,10.18654136,1.609398129,0.7921214799,11.27004848,30.03219418,0,13.38349701,1.446747765,68.72054841
2005-06,44.21455841,72.41048619,21.97457706,138.5996217,0,0.4253107189,12.02663626,9.522630081,0,21.97486193,0.3888951969,5.083006621,0.2475609288,24.65703646,12.75343243,1.084626773,44.21455841,10.12770786,1.732392109,0.9076576921,11.72970741,29.10695746,0,16.50451365,2.301550007,72.41048619
2006-07,50.92668015,72.3281548,22.48791257,145.7427475,0.00284869872,0.4683260696,9.336610055,12.68012774,0,22.48791257,0.3208715623,4.824442447,0.2939196569,24.1282217,20.37583089,0.9833938925,50.92668015,10.98144471,1.857043371,0.8692442691,11.46377288,25.66845299,0,18.14723498,3.340961597,72.3281548
2007-08,54.65474895,75.47805549,28.80205328,158.9348577,0.00284869872,0.4614891926,10.71310128,17.62461411,0,28.80205328,0.3656493297,3.23807071,0.3305538136,28.36806535,21.41380571,0.9386040337,54.65474895,12.0765528,2.006790613,0.7538264341,11.84145555,25.44471996,0,19.09206313,4.262646995,75.47805549
2008-09,54.14321896,75.13600438,23.90029739,153.1795207,0.002278958976,0.320478606,9.328918568,14.24862126,0,23.90029739,0.2942219439,2.929744056,0.210975138,26.71369416,22.88438643,1.110197227,54.14321896,12.67305585,2.103327274,0.4323729665,11.90283416,23.92049427,0,18.8813516,5.222568251,75.13600438
2009-10,57.83263433,75.63247863,23.18413453,156.6492475,0,0.3575116894,8.560909393,14.26571345,0,23.18413453,0.2730013993,2.976589466,0.1755440834,26.78528478,26.64440092,0.9778136753,57.83263433,12.98492076,2.187315945,0.1150627032,13.02883872,21.7166647,0,19.73988273,5.859793077,75.63247863
2010-11,57.09144786,73.4336209,21.98397776,152.5090465,0,0.2748994265,8.556351475,13.15272686,0,21.98369289,0.2583011845,4.097327439,0.1227194372,26.88016661,24.60300267,1.129930519,57.09144786,13.74620496,2.158372703,0.08156193673,13.52223517,19.97030407,0,17.26337112,6.691570941,73.4336209
2011-12,56.4619534,76.24667908,21.84866457,154.5572971,0,0.2979738861,8.854325362,12.69636533,0,21.84866457,0.240160944,4.289829821,0.07042379307,28.00955604,22.9576759,0.8943069026,56.4619534,15.5023909,2.345467973,0.0749328098,12.53780982,21.2120816,0,17.53054861,7.043447367,76.24667908
2012-13,58.6229001,75.05000329,19.62440061,153.297304,0,0.1794680194,7.680091749,11.76484084,0,19.62468548,0.2957787218,4.168827374,0.09621189363,29.67716135,23.42423769,0.9606830732,58.6229001,17.27816828,2.408326302,0.03468453913,11.12864684,21.44179269,0,16.82602631,5.932358342,75.05000329
2013-14,63.80879916,72.23931266,18.68034186,154.7284537,0,0.4577858843,7.770110629,10.45244534,0,18.68034186,0.3043394885,3.920767672,0.1410319812,31.13470443,27.22422056,1.083735026,63.80879916,15.92973283,2.256093137,0.0308964666,12.81540451,20.68849895,0,15.33175007,5.186936693,72.23931266
2014-15,66.98699589,72.49968346,24.82754882,164.3142282,0,0.4307232465,8.575722627,15.82110295,0,24.82754882,0.2690867832,3.930304825,0.1125565496,34.37886622,27.19141033,1.104771176,66.98699589,16.45852408,2.082670441,0.0491857543,13.34774708,21.99224698,0,14.6322588,3.937050323,72.49968346
2015-16,70.39259706,77.23643141,25.71463361,173.3436621,0,0.5822740184,9.506392499,15.62596709,0,25.71463361,0.2247715148,6.116404823,0.04386788364,39.36554004,23.47448383,1.167528971,70.39259706,16.0579946,1.990691305,0.02941675077,15.56205304,26.07809753,0,13.70317482,3.815003361,77.23643141
2016-17,77.27042948,81.52085982,31.86468927,190.6559786,0,2.44874142,8.133889455,21.2820584,0,31.86497414,0.2332718242,6.016713606,0.0383027807,44.08228066,25.79059443,1.109266183,77.27042948,17.2160794,1.944820114,0.03450697323,16.38370965,26.45382697,0,15.50777706,3.980139648,81.52091901
2017-18,74.59826717,86.10152734,51.22273655,211.9225311,0,12.63711239,11.22871574,27.35690842,0,51.22273655,0.1997361088,5.395160228,0.04391322668,48.50917344,19.27801231,1.172271854,74.59826717,16.8349046,1.899718375,0.05244112913,14.68493668,32.2373259,0,16.22206549,4.170135161,86.10152734
2018-19 P,58.09101713,86.03180313,58.5823497,202.70517,0,16.8115955,12.88551892,28.88523528,0,58.58263457,0.1830559144,3.928028604,0.04540652426,44.35627054,8.341502861,1.236752685,58.09101713,18.46016528,1.846981303,0.0229060011,13.84031489,30.25367804,3.1524458,14.60219097,3.853120841,86.03180313